YEAR,CCSCODE,CCSCATEGORY,NUMDISCHARGES,PERCENTDISCHARGES,RATEDISCHARGES,LOS,MEANCHARGES,AGGCHARGES,PERCENTDISCHARGESED,PERCENTDIED,PERCENTMALE,MEANCOSTS,AGGCOSTS,CCSLVL1,CCSLVL1LABEL
1997,3,"Laminectomy, excision intervertebral disc",320618.66502,0.964831,117.59482159,3.0609692356,12358.288799,3976882139.9,5.146848,0.177904,55.462119,,,1,Operations on the nervous system
1997,152,Arthroplasty knee,305963.17396,0.920728,112.21955794,4.3697613405,20346.046169,6221047901.8,,0.206343,39.488648,,,14,Operations on the musculoskeletal system
1997,153,"Hip replacement, total and partial",275731.54322,0.829753,101.13135999,5.7439804051,22143.462035,6102070762.8,28.664917,1.337921,34.930902,,,14,Operations on the musculoskeletal system
1997,177,Computerized axial tomography (CT) scan head,267583.84303,0.805234,98.142989522,5.2412409918,9556.5637267,2558537113.8,72.395919,3.904062,46.351062,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,146,"Treatment, fracture or dislocation of hip and femur",261212.66152,0.786062,95.806201196,6.4822560736,17637.312047,4607848002.1,69.370761,2.041839,32.364437,,,14,Operations on the musculoskeletal system
1997,4,Diagnostic spinal tap,255228.7731,0.768055,93.611462186,5.6517351989,11313.335899,2879725026.8,55.979005,1.71442,50.069987,,,1,Operations on the nervous system
1997,78,Colorectal resection,240535.39085,0.723838,88.222301003,10.537993499,29426.233264,7074592128.4,24.024888,4.539046,46.53336,,,9,Operations on the digestive system
1997,222,Blood transfusion,239410.54493,0.720453,87.809735954,6.137965788,11719.804683,2803988347.2,53.562385,6.978545,42.701551,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,76,Colonoscopy and biopsy,234647.95315,0.706121,86.062937681,6.058025456,11225.810325,2627715178.2,56.037193,1.400405,38.788913,,,9,Operations on the digestive system
1997,54,"Other vascular catheterization, not heart",232502.70166,0.699665,85.276113661,10.321263122,24696.089086,5704016751.5,45.53903,11.859521,43.526854,,,7,Operations on the cardiovascular system
1997,80,Appendectomy,221641.21913,0.66698,81.292396432,3.4026004777,10028.672437,2223598244.1,68.128002,0.178934,56.298818,,,9,Operations on the digestive system
1997,193,Diagnostic ultrasound of heart (echocardiogram),221016.26992,0.6651,81.063180858,5.135028047,10870.732555,2393412035.7,68.995393,1.845085,46.473723,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,224,Cancer chemotherapy,205430.05919,0.618196,75.346552758,4.5740480587,12623.285643,2594534244.5,4.516952,1.394017,46.928059,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,169,"Debridement of wound, infection or burn",203804.88716,0.613306,74.75048074,10.312083205,22163.244424,4514571509.5,42.251595,3.064983,54.618347,,,15,Operations on the integumentary system
1997,48,"Insertion, revision, replacement, removal of cardiac pacemaker or cardioverter/defibrillator",198100.51782,0.59614,72.658262264,5.8391231619,28320.813832,5705502421.8,38.527548,2.471107,54.954079,,,7,Operations on the cardiovascular system
1997,61,Other OR procedures on vessels other than head and neck,193430.62053,0.582087,70.945461984,8.0800613563,30141.956929,5806920201,29.049325,5.023017,50.02197,,,7,Operations on the cardiovascular system
1997,58,Hemodialysis,168923.64683,0.508338,61.956923529,5.4611970209,11696.471369,1974133524.4,60.956301,4.365945,47.934175,,,7,Operations on the cardiovascular system
1997,213,"Physical therapy exercises, manipulation, and other procedures",166010.95637,0.499573,60.888622297,11.817612483,15730.684949,2607860716.2,15.560039,1.128874,37.959266,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,147,"Treatment, fracture or dislocation of lower extremity (other than hip or femur)",164434.03599,0.494828,60.310247765,3.9277677186,12678.010213,2083476550.8,62.110794,0.169259,49.636469,,,14,Operations on the musculoskeletal system
1997,39,"Incision of pleura, thoracentesis, chest drainage",163784.77297,0.492874,60.0721145,7.9637623639,16303.609239,2659968013.4,57.138816,7.906092,52.844268,,,6,Operations on the respiratory system
1997,217,Other respiratory therapy,163592.79407,0.492296,60.001701493,4.4001548225,8167.957439,1343543931.2,48.809599,2.967192,46.414965,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,37,Diagnostic bronchoscopy and biopsy of bronchus,154344.26581,0.464465,56.609575115,9.529133391,22536.269802,3469083565,49.797184,6.733861,56.2658,,,6,Operations on the respiratory system
1997,51,"Endarterectomy, vessel of head and neck",144283.11917,0.434188,52.919400858,3.3931430592,14050.129617,2027019513.1,8.462081,0.616103,57.294283,,,7,Operations on the cardiovascular system
1997,113,Transurethral prostatectomy (TURP),132737.79336,0.399445,48.684867199,3.5794985804,8680.4670941,1150658835.2,9.683819,0.386562,99.988044,,,11,Operations on the male genital organs
1997,158,Spinal fusion,127898.14278,0.384881,46.909805707,4.6359209658,25005.03432,3178541712,4.601683,0.275785,48.368758,,,14,Operations on the musculoskeletal system
1997,174,Other non-OR therapeutic procedures on skin and breast,112952.54978,0.339906,41.428139994,9.436078862,19458.178188,2188046428.4,35.859613,3.341694,43.349252,,,15,Operations on the integumentary system
1997,218,Psychological and psychiatric evaluation and therapy,112159.46548,0.337519,41.137256722,14.015558223,13582.443154,1522289884.8,42.246809,0.080777,44.372805,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,157,Amputation of lower extremity,104871.5293,0.315588,38.464225958,11.261619132,24596.334264,2578203742.3,26.374009,4.328609,57.082387,,,14,Operations on the musculoskeletal system
1997,55,Peripheral vascular bypass,104395.72119,0.314156,38.289711571,8.44492767,27669.541519,2888268413.5,9.294691,2.726217,57.596944,,,7,Operations on the cardiovascular system
1997,96,Other OR lower GI therapeutic procedures,98006.055751,0.294928,35.946143809,8.3138076964,22417.177145,2193324800.6,28.949142,3.032776,51.865766,,,9,Operations on the digestive system
1997,203,Electrographic cardiac monitoring,94802.093831,0.285286,34.771011568,3.5014435786,7045.008715,671477686.12,73.832309,2.35052,47.203362,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,99,Other OR gastrointestinal therapeutic procedures,93278.599675,0.280701,34.212232423,10.820509137,33470.673372,3115340025.8,29.74253,5.430405,45.881712,,,9,Operations on the digestive system
1997,198,Magnetic resonance imaging,92890.193242,0.279532,34.069774762,5.9104697478,10812.302452,1002115368.9,56.865618,1.340488,45.087504,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,71,"Gastrostomy, temporary and permanent",92812.871464,0.2793,34.041415088,12.687935349,23311.32577,2155449775.9,51.641315,8.022356,43.704372,,,9,Operations on the digestive system
1997,179,CT scan abdomen,89211.302142,0.268462,32.720450503,5.0251900897,9912.9673611,882491692.66,63.489512,2.204113,44.080275,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,160,Other therapeutic procedures on muscles and tendons,88683.468701,0.266873,32.52685454,3.5189547221,11202.587895,993188860.19,22.71758,0.498008,61.267087,,,14,Operations on the musculoskeletal system
1997,93,Other non-OR upper GI therapeutic procedures,88039.520216,0.264935,32.290670513,5.4417428589,13122.049104,1150224728.8,67.650669,4.021017,52.622391,,,9,Operations on the digestive system
1997,167,Mastectomy,86102.928981,0.259108,31.580377802,2.5311457176,9113.7489613,784829486.67,,0.104586,0.925025,,,15,Operations on the integumentary system
1997,101,"Transurethral excision, drainage, or removal urinary obstruction",84184.477585,0.253335,30.876738326,3.4103017853,9436.9471241,793281514.57,37.768702,0.68079,68.59103,,,10,Operations on the urinary system
1997,201,Cardiac stress tests,83816.108834,0.252226,30.741629979,2.5904178577,6878.529035,576225135.34,77.12053,,50.778067,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,94,Other OR upper GI therapeutic procedures,82516.938228,0.248316,30.265127042,8.8315243176,28793.278347,2369096120.8,26.203267,5.086778,50.943209,,,9,Operations on the digestive system
1997,86,Other hernia repair,82319.617955,0.247723,30.192754954,4.6713774792,13482.125812,1107567490.9,19.222186,0.989008,37.78956,,,9,Operations on the digestive system
1997,43,Heart valve procedures,79974.532853,0.240666,29.332637019,11.472805623,66881.515814,5342670773.5,11.292907,6.685631,54.857724,,,7,Operations on the cardiovascular system
1997,136,Artificial rupture of membranes to assist delivery,74698.42824,0.224788,27.397495218,1.7682499886,3608.3304147,270296922.13,,,,,,13,Obstetrical procedures
1997,1,Incision and excision of CNS,74661.336186,0.224677,27.383890791,9.4431933709,37098.462362,2766821712.9,34.130897,8.067052,55.469562,,,1,Operations on the nervous system
1997,148,Other fracture and dislocation procedure,74597.324339,0.224484,27.360412863,4.0097535297,13671.092535,1021254457.7,53.177244,0.41668,51.645537,,,14,Operations on the musculoskeletal system
1997,211,Radiation therapy,73082.806251,0.219927,26.804925913,6.6048772625,12632.783958,922174425.2,21.221165,4.433717,42.85419,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,225,Conversion of cardiac rhythm,71846.714705,0.216207,26.351558781,4.0771526618,9479.002439,680634792.59,47.829677,21.81579,58.701774,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,34,"Tracheostomy, temporary and permanent",71608.512425,0.21549,26.264192206,35.379392221,148890.54746,10657417321,53.228787,24.719526,57.148236,,,6,Operations on the respiratory system
1997,121,Ligation of fallopian tubes,71173.235662,0.21418,26.104543692,2.0675496895,6018.8206615,428506729.15,6.710446,,,,,12,Operations on the female genital organs
1997,114,Open prostatectomy,68210.563466,0.205265,25.017910422,4.1277258227,13850.769449,944851959.82,,0.145896,100,,,11,Operations on the male genital organs
1997,90,"Excision, lysis peritoneal adhesions",67022.746751,0.20169,24.582249278,8.8745318664,22911.549038,1532897602.7,43.581535,2.992663,30.395623,,,9,Operations on the digestive system
1997,119,"Oophorectomy, unilateral and bilateral",67012.260785,0.201659,24.57840329,3.7462850367,11096.985511,743581601.88,11.62271,0.342093,,,,12,Operations on the female genital organs
1997,171,Suture of skin and subcutaneous tissue,66773.393739,0.20094,24.490792896,3.7082783284,8275.347194,552401725.46,77.218793,1.277165,57.706325,,,15,Operations on the integumentary system
1997,49,Other OR heart procedures,66385.918341,0.199774,24.348676715,8.1574493338,44144.75604,2919990039.5,24.630001,12.921488,56.000463,,,7,Operations on the cardiovascular system
1997,57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis",65995.908235,0.1986,24.205630867,8.1588798258,22420.077803,1479507568.6,31.356133,2.526835,49.942425,,,7,Operations on the cardiovascular system
1997,197,Other diagnostic ultrasound,64226.882613,0.193277,23.556796987,5.0323568987,8436.7911604,540815010.3,49.305116,1.181443,29.014814,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,95,Other non-OR lower GI therapeutic procedures,64169.247216,0.193103,23.53565778,5.660214551,10983.881585,702990197.35,54.039111,1.291437,47.987465,,,9,Operations on the digestive system
1997,139,Fetal monitoring,64076.345096,0.192824,23.501583631,2.2570051462,3953.3211639,253509197.26,,,,,,13,Obstetrical procedures
1997,33,"Other OR therapeutic procedures on nose, mouth and pharynx",63618.908752,0.191447,23.333807543,3.4472811224,12123.911343,771660823.61,18.036342,0.524221,56.815215,,,5,Operations on the nose; mouth; and pharynx
1997,168,"Incision and drainage, skin and subcutaneous tissue",63067.779313,0.189789,23.131667197,5.6791041015,10458.949465,657958921.77,51.992108,0.610121,53.886586,,,15,Operations on the integumentary system
1997,88,Abdominal paracentesis,62771.790695,0.188898,23.023106054,7.5094318346,15652.377885,979776369.36,51.236748,10.328333,51.507463,,,9,Operations on the digestive system
1997,36,Lobectomy or pneumonectomy,61304.363473,0.184482,22.484890843,9.0535066211,30557.981941,1874693916.3,8.718556,3.540998,55.680368,,,6,Operations on the respiratory system
1997,9,Other OR therapeutic nervous system procedures,58312.302646,0.175478,21.387478566,7.8899214547,31388.72466,1824358297.8,27.538416,6.817784,54.191736,,,1,Operations on the nervous system
1997,132,"Other OR therapeutic procedures, female organs",57215.649809,0.172178,20.985254027,3.5623698364,10100.840208,577752252.25,14.394132,0.224378,,,,12,Operations on the female genital organs
1997,162,Other OR therapeutic procedures on joints,56881.641641,0.171173,20.862748275,5.2686225572,15247.145384,867203971.18,19.624858,0.790037,55.191441,,,14,Operations on the musculoskeletal system
1997,65,Bone marrow biopsy,55574.368674,0.167239,20.383273596,9.3861525927,22072.822871,1222625462.3,43.712067,5.557471,49.538664,,,8,Operations on the hemic and lymphatic system
1997,100,Endoscopy and endoscopic biopsy of the urinary tract,55474.869404,0.166939,20.346779779,6.7265716666,12272.606724,678929891.13,48.821006,1.454289,57.59665,,,10,Operations on the urinary system
1997,196,Diagnostic ultrasound of abdomen or retroperitoneum,54890.611567,0.165181,20.132488774,4.2327796105,8553.8179295,469829928.91,68.032826,1.569392,37.319786,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,226,Other diagnostic radiology and related techniques,54583.460587,0.164257,20.019833558,5.1478916734,10313.428737,561896638.53,49.125606,1.664675,46.876579,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,63,Other non-OR therapeutic cardiovascular procedures,54189.56574,0.163072,19.875362886,7.5885962707,22133.716529,1193380831.4,41.061488,8.833452,53.305246,,,7,Operations on the cardiovascular system
1997,112,Other OR therapeutic procedures of urinary tract,53981.258428,0.162445,19.798961029,6.777588141,19802.356779,1067422590.9,12.266233,1.198777,55.212425,,,10,Operations on the urinary system
1997,98,Other non-OR gastrointestinal therapeutic procedures,53747.556759,0.161741,19.713245165,6.0045074536,14465.015659,773561713.56,41.553081,2.342607,40.545468,,,9,Operations on the digestive system
1997,5,Insertion of catheter or spinal stimulator and injection into spinal canal,53666.902612,0.161499,19.683663262,5.4251776442,10422.993232,562603503.59,29.849625,1.142458,35.349006,,,1,Operations on the nervous system
1997,205,Arterial blood gases,53259.470005,0.160273,19.534227281,4.947127371,9922.4250654,529956355.66,,4.438801,,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,154,Arthroplasty other than hip or knee,53108.994584,0.15982,19.479036701,2.2799608644,10512.12383,559978804.14,5.049028,,48.234033,,,14,Operations on the musculoskeletal system
1997,145,"Treatment, fracture or dislocation of radius and ulna",50397.29488,0.15166,18.484453797,3.0574340598,10788.302179,543483841.26,65.441393,0.200744,48.911969,,,14,Operations on the musculoskeletal system
1997,223,Enteral and parenteral nutrition,49327.773613,0.148441,18.092180432,11.633843373,21411.424952,1052043059.1,45.11963,13.584298,42.411087,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,227,Other diagnostic procedures,48744.694988,0.146686,17.878321932,5.5205707809,11195.635402,544871737.5,41.332304,3.247032,45.821937,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,85,Inguinal and femoral hernia repair,46834.970893,0.140939,17.177883409,5.984682919,16403.620193,766793018.29,32.060055,1.021198,80.553752,,,9,Operations on the digestive system
1997,10,"Thyroidectomy, partial or complete",46795.083265,0.140819,17.163253635,2.0230785746,8454.0069537,395310836.84,,,18.169588,,,2,Operations on the endocrine system
1997,106,Genitourinary incontinence procedures,46281.479843,0.139274,16.974876883,2.4343181261,7960.6728848,369055248.49,,,0.388098,,,10,Operations on the urinary system
1997,67,"Other therapeutic procedures, hemic and lymphatic system",46130.365539,0.138819,16.919451976,6.0058363756,17461.072469,807674483.36,18.167731,2.285492,54.178351,,,8,Operations on the hemic and lymphatic system
1997,175,Other OR therapeutic procedures on skin and breast,44745.978263,0.134653,16.411693718,2.8644767182,12426.974391,559098844.88,5.956787,0.284376,15.118758,,,15,Operations on the integumentary system
1997,75,Small bowel resection,43745.911878,0.131644,16.044894648,14.232642205,43081.327919,1876533198.7,50.658983,9.387354,42.444159,,,9,Operations on the digestive system
1997,129,"Repair of cystocele and rectocele, obliteration of vaginal vault",43296.619913,0.130292,15.880105713,2.4000578526,7134.3318698,309493862.15,,,,,,12,Operations on the female genital organs
1997,42,Other OR therapeutic procedures on respiratory system,42173.137207,0.126911,15.468040656,10.724614337,34498.160219,1452189787.1,24.810456,3.671171,63.534243,,,6,Operations on the respiratory system
1997,62,Other diagnostic cardiovascular procedures,42005.699167,0.126407,15.406628616,5.3351070752,15266.341067,648317316.53,32.308,0.864184,55.021029,,,7,Operations on the cardiovascular system
1997,52,"Aortic resection, replacement or anastomosis",41730.564899,0.125579,15.305716321,9.7874263181,41645.55766,1736397183.1,16.781249,10.333692,77.671558,,,7,Operations on the cardiovascular system
1997,215,Other physical therapy and rehabilitation,41440.051193,0.124705,15.199163238,13.359179241,15745.259486,650405816.15,13.192736,0.933838,43.056848,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,127,"Dilatation and curettage (D&C), aspiration after delivery or abortion",39673.472298,0.119389,14.551226755,1.8795891656,6140.6350266,243657642.94,47.747306,,,,,12,Operations on the female genital organs
1997,104,"Nephrectomy, partial or complete",39521.021775,0.11893,14.495311757,7.1259283444,21977.154471,865722796.28,7.927133,1.590203,54.004982,,,10,Operations on the urinary system
1997,142,Partial excision bone,36730.829959,0.110533,13.471939931,5.8907612389,18330.882017,671419972.59,14.652395,0.772675,55.087609,,,14,Operations on the musculoskeletal system
1997,208,Nuclear medicine imaging of pulmonary,36023.52867,0.108405,13.212519697,5.251954679,11042.083318,395929146.37,67.083235,2.540815,38.165984,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,125,Other excision of cervix and uterus,34767.495531,0.104625,12.751838493,2.8677063466,8901.5046787,309820620.23,6.404828,,,,,12,Operations on the female genital organs
1997,161,Other OR therapeutic procedures on bone,34378.075553,0.103453,12.609009089,4.409083506,15905.586249,545057319.65,16.614872,0.647075,53.349311,,,14,Operations on the musculoskeletal system
1997,172,Skin graft,33820.343444,0.101775,12.40444705,10.8436737,30630.866529,1033876068.2,21.037689,1.237384,60.278897,,,15,Operations on the integumentary system
1997,188,Cerebral arteriogram,33760.97695,0.101596,12.38267292,5.4924967211,14672.339619,493071734.1,50.162014,1.598611,50.842466,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,82,"Fluoroscopy of the biliary and pancreatic ducts (ERCP, ERC and ERP)",33427.24061,0.100592,12.260266867,6.487203993,14437.598522,481059995.81,51.053969,1.923795,37.902657,,,9,Operations on the digestive system
1997,214,"Traction, splints, and other wound care",33421.636169,0.100575,12.2582113,5.6540200734,9031.6804276,302038279.63,66.148616,1.120359,47.632688,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,120,Other operations on ovary,32261.362219,0.097083,11.832652145,2.8195158702,9142.0551439,295234028.38,23.495793,,,,,12,Operations on the female genital organs
1997,102,Ureteral catheterization,30353.376277,0.091342,11.132851132,4.1341940933,11008.64274,332612265.11,53.724374,1.146925,49.218659,,,10,Operations on the urinary system
1997,221,Nasogastric tube,29389.204982,0.08844,10.779217474,4.9084167391,9054.7061681,265147802.54,69.833454,6.123653,45.455176,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,164,Other OR therapeutic procedures on musculoskeletal system,29233.442823,0.087972,10.722087851,4.8037253551,16519.764787,482030605.7,18.133571,1.081911,51.319285,,,14,Operations on the musculoskeletal system
1997,191,Arterio- or venogram (not heart and head),29215.841605,0.087919,10.71563217,5.5526981486,13734.004227,399613479.86,45.919581,1.664491,44.232495,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,155,Arthrocentesis,28651.790605,0.086221,10.508752521,6.2323132411,10164.393703,290620947.96,60.711651,1.051109,54.906294,,,14,Operations on the musculoskeletal system
1997,195,Diagnostic ultrasound of urinary tract,28352.766312,0.085321,10.39907797,5.1590151494,8929.6330636,253191375.8,60.102818,2.187243,43.797213,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,178,CT scan chest,27951.598435,0.084114,10.251939733,6.3751827548,11550.705811,322061188.96,60.273599,3.283146,49.264176,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,12,Other therapeutic endocrine procedures,27574.761881,0.08298,10.113725611,4.328504556,15791.284057,436926205.64,6.608223,0.776119,38.408379,,,2,Operations on the endocrine system
1997,83,Biopsy of liver,27100.120173,0.081552,9.9396390305,7.9026433382,18283.137232,494284828.8,33.173239,6.778883,51.025725,,,9,Operations on the digestive system
1997,192,Diagnostic ultrasound of head and neck,26929.713005,0.081039,9.8771379892,5.6880425001,11701.316362,315240903.88,59.202005,0.885011,42.689783,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,166,"Lumpectomy, quadrantectomy of breast",26777.364867,0.080581,9.8212605432,2.3321000888,8047.7963175,215657623.95,5.802344,,0.619212,,,15,Operations on the integumentary system
1997,209,Non-imaging nuclear medicine probe or assay,26534.896946,0.079851,9.7323294389,4.7606171852,9861.9312791,261053579.01,62.07956,0.968476,45.134006,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,2,"Insertion, replacement, or removal of extracranial ventricular shunt",26273.531724,0.079064,9.6364672822,8.7467381345,27746.059705,734335659,30.327413,2.828879,52.598391,,,1,Operations on the nervous system
1997,187,Intravenous pyelogram,25838.638339,0.077756,9.4769593824,2.855810382,5045.0015128,130822068.65,69.19343,,53.202823,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,118,"Other OR therapeutic procedures, male genital",25388.046491,0.0764,9.3116936825,3.5283765141,11321.73692,288773174.62,24.779446,0.719528,100,,,11,Operations on the male genital organs
1997,144,"Treatment, facial fracture or dislocation",25019.003796,0.075289,9.1763381507,3.7710210539,14792.501384,372108479.48,57.48666,0.213985,77.247094,,,14,Operations on the musculoskeletal system
1997,103,Nephrotomy and nephrostomy,24615.873829,0.074076,9.0284802696,7.0690465185,20284.18657,499007442.7,26.152523,2.674457,52.667907,,,10,Operations on the urinary system
1997,199,Electroencephalogram (EEG),23821.123129,0.071684,8.7369858029,6.5170070481,11739.106124,278666010.3,58.997888,1.985832,46.712676,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,35,Tracheoscopy and laryngoscopy with biopsy,23424.644902,0.070491,8.5915676115,5.0396111833,9415.0836592,219900088.33,27.572786,1.680724,47.448132,,,6,Operations on the respiratory system
1997,122,Removal ectopic pregnancy,23329.578795,0.070205,8.5566997665,2.2990938485,8251.4637555,192433310.4,62.914635,,,,,13,Obstetrical procedures
1997,170,Excision of skin lesion,22957.216653,0.069085,8.4201267458,6.3222655971,13604.535501,311633151.2,17.313711,0.801552,48.523014,,,15,Operations on the integumentary system
1997,159,Other diagnostic procedures on musculoskeletal system,22798.782996,0.068608,8.3620172852,9.4717415021,23038.684568,524332816.68,32.048434,2.976943,50.296576,,,14,Operations on the musculoskeletal system
1997,202,Electrocardiogram,22269.450099,0.067015,8.1678713594,3.6989462803,5366.4740081,119494692.26,,,45.104324,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,220,Ophthalmologic and otologic diagnosis and treatment,,,,3.4840001585,,,1.086365,,,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,89,Exploratory laparotomy,21550.757981,0.064852,7.9042732577,8.5759791775,28935.845057,621678283.79,46.035436,15.69427,46.530588,,,9,Operations on the digestive system
1997,111,Other non-OR therapeutic procedures of urinary tract,20298.257613,0.061083,7.444887784,4.5212213493,9284.0433774,187184780.27,31.552237,2.228631,38.15204,,,10,Operations on the urinary system
1997,30,Tonsillectomy and/or adenoidectomy,20276.151589,0.061017,7.4367798532,1.8369309072,5587.7768151,114345001.12,13.935,,50.412347,,,5,Operations on the nose; mouth; and pharynx
1997,183,Routine chest X-ray,,,,4.1346322366,5787.1888528,115525664.25,,,,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,74,"Gastrectomy, partial and total",19613.791304,0.059023,7.1938428442,14.446572451,46205.240951,904731774.63,26.357324,8.277828,55.18837,,,9,Operations on the digestive system
1997,91,Peritoneal dialysis,19327.785079,0.058163,7.0889429907,5.4915687946,10822.032359,208845182.94,57.027574,3.218104,47.61919,,,9,Operations on the digestive system
1997,109,Procedures on the urethra,19292.128066,0.058055,7.0758648995,4.3960223241,10983.404955,212088257.84,24.917074,1.24744,77.456,,,10,Operations on the urinary system
1997,110,Other diagnostic procedures of urinary tract,19075.554485,0.057404,6.9964311849,6.3772247306,15019.568088,285954668.77,22.857,1.142424,52.723728,,,10,Operations on the urinary system
1997,66,Procedures on spleen,19009.828686,0.057206,6.9723246231,9.0503903222,35028.174435,665258597.69,42.630518,6.431345,55.670983,,,8,Operations on the hemic and lymphatic system
1997,40,Other diagnostic procedures of respiratory tract and mediastinum,18636.14732,0.056081,6.8352677442,7.9028267684,21390.868957,399012103.47,25.737761,3.578922,55.82123,,,6,Operations on the respiratory system
1997,180,Other CT scan,18371.980202,0.055286,6.7383779231,5.1193804159,8620.7246037,158349701.48,60.732876,1.087549,45.779102,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,27,Control of epistaxis,17491.297962,0.052636,6.4153659395,4.3428127521,8438.6989613,147228767.18,72.346754,1.966686,53.088081,,,5,Operations on the nose; mouth; and pharynx
1997,60,Embolectomy and endarterectomy of lower limbs,17381.694654,0.052306,6.3751662168,7.6280586813,25772.356669,447209609.44,36.890471,8.37021,49.802242,,,7,Operations on the cardiovascular system
